name,type,notes,weights,cv_score,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,full_precision,full_recall,full_f1,full_roc_auc,full_pr_auc,chosen_threshold,train_threshold,test_threshold,full_threshold,cv_threshold,oof_precision,oof_recall,oof_f1,oof_threshold,oof_roc_auc,oof_pr_auc,chosen_threshold_oof
logistic,supervised,,,0.03896214017946578,,,,,,0.2,0.3333333333333333,0.25,0.8430573248407643,0.10903261063059254,0.032520325203252036,1.0,0.06299212598425197,0.47321428571428575,0.017661738546839216,,,,,,,0.07740873004870222,0.00789508596560742,,,,,,,,,
random_forest,supervised,,,0.018177636805668383,,,,,,1.0,1.0,1.0,1.0,1.0,0.05,0.25,0.08333333333333333,0.4642857142857143,0.019407308377896615,,,,,,,0.555,0.065,,,,,,,,,
gbdt,supervised,,,0.030693268882287385,,,,,,1.0,1.0,1.0,1.0,1.0,0.0425531914893617,1.0,0.08163265306122448,0.6747448979591837,0.027979432927378773,,,,,,,0.8073541424621402,0.0008867674339485792,,,,,,,,,
xgboost,supervised,,,0.0333487333926286,,,,,,1.0,1.0,1.0,1.0,1.0,0.04878048780487805,0.5,0.08888888888888889,0.6670918367346939,0.028174125252377287,,,,,,,0.7666728496551514,0.005104046780616045,,,,,,,,,
unsup:isolation,unsupervised,standalone,,,,,,,,,,,,,,,,,,1.0,0.05263157894736842,0.1,0.43693331187295453,0.06933291239150813,,,,1.0,,,,,,,,
unsup:lof,unsupervised,standalone,,,,,,,,,,,,,,,,,,0.021164021164021163,0.631578947368421,0.040955631399317405,0.4214281882075218,0.01546840261205755,,,,0.17087336286405141,,,,,,,,
unsup:ocsvm,unsupervised,standalone,,,,,,,,,,,,,,,,,,0.01917255297679112,1.0,0.03762376237623762,0.3432587585170878,0.013317145283294939,,,,0.13278680101314463,,,,,,,,
unsup:aggregate,unsupervised,mean of unsup signals,,,,,,,,,,,,,,,,,,0.2,0.05263157894736842,0.08333333333333333,0.4214281882075218,0.02021991770704329,,,,0.743304048525303,,,,,,,,
autoencoder,autoencoder,reconstruction error normalized,,,,,,,,,,,,,,,,,,0.0202991452991453,1.0,0.039790575916230364,0.39905574333386984,0.014219135319192536,,,,0.14581063389778137,,,,,,,,
hybrid:sup+unsup,hybrid,"weights=[0.6, 0.4]","[0.6, 0.4]",,0.06897546897546898,0.2,0.10188034188034187,0.6246128146690146,0.05949387687177584,,,,,,,,,,,0.13333333333333333,0.21052631578947367,0.16326530612244897,0.6181662106336177,0.04701407620642923,0.39012104385828844,,,0.39012104385828844,0.3770490215716108,,,,,,,
hybrid:sup+ae,hybrid,"weights=[0.6, 0.4]","[0.6, 0.4]",,0.03151515151515152,0.1,0.047719298245614036,0.6640806830346351,0.04596649483044357,,,,,,,,,,,0.08333333333333333,0.10526315789473684,0.09302325581395349,0.665486345834004,0.03323155847877232,0.3968482247564805,,,0.3968482247564805,0.37518860106684604,,,,,,,
hybrid:unsup+ae,hybrid,"weights=[0.5, 0.5]","[0.5, 0.5]",,0.003389830508474576,0.15,0.0066298342541436465,0.38854803342656863,0.020534026124488687,,,,,,,,,,,0.0625,0.05263157894736842,0.05714285714285714,0.39513922420730724,0.01544648897606168,0.7254440313626211,,,0.7254440313626211,0.6298890154819361,,,,,,,
hybrid:sup+unsup+ae,hybrid,"weights=[0.6, 0.2, 0.2]","[0.6, 0.2, 0.2]",,0.08655788655788656,0.26666666666666666,0.129928894634777,0.6407049621879208,0.05446423478372651,,,,,,,,,,,0.0967741935483871,0.3157894736842105,0.14814814814814814,0.6446161274746498,0.04163452158617599,0.3283697808074099,,,0.3283697808074099,0.34266338777161187,,,,,,,
stack:2way,stack,meta OOF for sup+unsup,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,0.10526315789473684,0.1111111111111111,0.021317629465372245,0.5489564890820322,0.028656534555895147,0.021317629465372245
stack:3way,stack,meta OOF for sup+unsup+ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03501945525291829,0.47368421052631576,0.06521739130434782,0.020323701460989753,0.5864585009925425,0.02449034237692988,0.020323701460989753
